kepid;kepoi_name;kepler_name;koi_disposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_teq;koi_insol;koi_model_snr;koi_steff;koi_slogg;koi_srad;ra;dec;koi_kepmag
6466939;K06717.01;;FALSE POSITIVE;0;0;1;0;0;1.142946648;0.479;3.40234;412550;43.5;1293;660.96;1054.4;5058;4.651;0.608;298.25748;41.850639;14.454
6468938;K06718.01;;FALSE POSITIVE;0;0;1;0;0;7.217010987;1.287;4.4215;78714;89.71;1096;341.36;1307;6047;4.246;1.211;298.69;41.880852;13.272
8429014;K07885.01;;FALSE POSITIVE;0.001;0;0;1;0;9.72869627;1.274;5.628;252.2;42.47;1126;379.75;19.1;6881;4.301;1.351;291.1738;44.449799;13.542
7200301;K06844.01;;FALSE POSITIVE;0;1;0;0;1;0.566791802;0.679;2.2;49.3;0.66;2040;4113.39;15.6;5691;4.544;0.887;291.76828;42.757221;14.702
7203179;K06845.01;;FALSE POSITIVE;0;1;0;0;0;2.245738777;0.397;8.61629;483490;99.05;1737;2156.25;2121.8;6508;4.287;1.312;292.68881;42.748001;13.432
7203194;K06846.01;;FALSE POSITIVE;0;0;1;1;1;2.24572117;0.596;3.88;48.2;0.74;1479;1131.64;13.6;6158;4.455;1.026;292.69376;42.760899;14.244
7204073;K06847.01;;FALSE POSITIVE;0;1;0;0;1;0.566801906;0.155;1.626;89.7;0.55;1344;774.11;27;4208;4.662;0.583;292.95926;42.799252;12.663
7212722;K06848.01;;FALSE POSITIVE;0;0;1;0;0;2.316171991;0.7;4.03025;251480;49.53;1288;651.03;2338.3;5932;4.58;0.795;295.37515;42.75378;13.969
7280953;K06850.01;;FALSE POSITIVE;0;0;0;0;1;0.56680208;;1.22;;;;392.81;;;;;291.45313;42.851227;13.072
7281217;K06851.01;;FALSE POSITIVE;0;1;0;0;1;0.566810701;0.982;6.19;200;1.49;1921;3220.92;45.9;5593;4.584;0.752;291.52869;42.86697;15.644
7281229;K06852.01;;FALSE POSITIVE;0;1;0;0;0;0.566813319;1.196;3.752;129.1;23.19;2313;6742.52;17;6108;4.466;1.03;291.53311;42.83847;15.972
8143170;K06976.01;;FALSE POSITIVE;0;1;0;0;0;28.78725751;0.559;13.953;49618;91.26;971;210.02;1292;5154;3.461;3.981;281.08948;44.057941;12.85
8145789;K06977.01;;FALSE POSITIVE;0;0;1;0;0;0.835315046;1.224;2.45449;16876;30.54;1490;1160.98;939.5;5009;4.584;0.69;282.75241;44.048721;15.314
8155584;K06979.01;;FALSE POSITIVE;0;0;1;0;0;26.0164225;1.147;4.1768;41109;61.04;755;76.63;285.4;6287;4.231;1.28;287.90555;44.01086;15.032
8158324;K06981.01;;FALSE POSITIVE;;1;0;0;0;593.19521;0.6192;25.65;227.3;1.63;234;0.71;7.1;6103;4.391;1.03;289.18787;44.006969;14.733
8162376;K06982.01;;FALSE POSITIVE;0;0;0;1;1;0.706430188;0.288;1.301;50.8;0.41;1473;1116.9;11;5037;4.689;0.568;290.59076;44.002579;14.001
8953281;K07112.01;;FALSE POSITIVE;0.167;0;1;0;0;0.78430061;0.659;2.952;254.7;1.14;1566;1416.91;20.5;5176;4.589;0.681;291.93063;45.22002;15.156
8953426;K07113.01;;FALSE POSITIVE;0;0;1;0;0;2.665875491;0.878;7.59461;161390;67.43;1502;1199.89;2274.7;6234;4.351;1.159;291.99097;45.234138;12.156
8953475;K07114.01;;FALSE POSITIVE;0;0;0;0;1;2.6658312;0.864;5.771;40.8;0.99;1663;1807.48;12.4;6276;4.17;1.353;292.01447;45.205681;13.562
8957572;K07115.01;;FALSE POSITIVE;0;1;0;0;0;1.5765874;1.04;15.18;29.2;15.68;2946;17781.51;27.9;6742;3.688;3.138;293.5484;45.201;12.232
8973000;K07118.01;;FALSE POSITIVE;;0;1;0;0;28.02789136;0.6493;17.3269;243230;31.3;440;8.86;2829;5231;4.721;0.544;297.89444;45.211189;14.594
9881258;K07242.01;;FALSE POSITIVE;0;0;1;0;0;2.028512246;0.871;5.00309;121560;50.28;1542;1333.24;1545.8;6105;4.412;1.025;287.12561;46.733479;13.281
9899153;K07243.01;;FALSE POSITIVE;0;0;0;1;1;1.33256167;0.402;3.743;59.5;0.63;1326;727.84;13;4895;4.502;0.828;295.14157;46.793919;14.877
9899193;K07244.01;;FALSE POSITIVE;0;0;0;1;1;1.332567821;0.413;3.4844;31;0.96;2395;7802.17;5;6600;4.047;1.681;295.15475;46.736641;13.191
9899410;K07245.01;;FALSE POSITIVE;0;0;0;1;1;1.332545609;0.582;3.997;278.2;28.37;5080;157611.61;31.4;5154;2.435;16.486;295.2258;46.76009;13.504
9899421;K07246.01;;FALSE POSITIVE;0;0;0;1;1;1.33256256;0.137;3.088;174.9;16.03;4529;99175.88;11.9;4601;2.321;12.581;295.23248;46.77037;12.295
9899577;K07247.01;;FALSE POSITIVE;0;0;0;1;1;1.33258981;0.223;3.987;78.4;0.67;1369;832.33;16.1;5309;4.595;0.763;295.28519;46.770592;14.818
9899583;K07248.01;;FALSE POSITIVE;0;0;1;1;1;1.33258375;0.746;4.081;60.9;0.84;1727;2096.92;16.4;6108;4.471;0.997;295.28735;46.75449;14.835
9906489;K07249.01;;FALSE POSITIVE;0;1;0;0;0;8.9648813;1.208;61.23;454.5;28.97;1040;276.3;109.9;6543;4.382;1.159;297.52359;46.703129;12.039
10816107;K07377.01;;FALSE POSITIVE;0.008;0;1;0;0;2.161583501;0.715;4.0537;50163;29.61;1646;1741.01;239.2;5888;4.167;1.219;298.29193;48.194691;13.945
10843431;K07378.01;Kepler-1999 b;CONFIRMED;0.994;0;0;0;0;8.7396758;0.957;3.866;1431;3.29;577;26.17;15.6;4406;4.643;0.628;282.37042;48.259289;16.324
10847907;K07379.01;;FALSE POSITIVE;0;1;0;0;0;0.535493486;0.566;2.57;54;1.42;3181;24045.87;5.1;6328;4.035;1.864;285.25192;48.286209;13.39
10849244;K07381.01;;FALSE POSITIVE;0;0;1;0;0;24.26168383;0.814;7.1617;192280;58.48;659;44.55;5083.9;6151;4.473;0.983;285.97827;48.225491;12.325
10857589;K07382.01;;FALSE POSITIVE;0;0;1;0;0;32.5325215;0.237;13.3991;83468;24.35;535;19.39;1595.1;5845;4.558;0.838;290.13074;48.289848;15.354
12022718;K07508.01;;FALSE POSITIVE;0;0;1;0;0;4.627775175;1.248;3.4079;5675.1;32.62;1039;275.68;197.5;5845;4.541;0.874;296.44351;50.420441;14.69
12053823;K07509.01;;FALSE POSITIVE;;1;0;0;0;28.7850347;0.2978;2.102;102.9;2.5;993;229.66;6.2;6581;3.824;2.42;286.68756;50.531506;13.57
12071006;K07511.01;;FALSE POSITIVE;0;0;1;0;0;6.096030635;0.642;18.4531;901660;406.97;1925;3246.2;4885.3;7598;3.867;2.692;296.10501;50.518471;13.533
12105785;K07512.01;;FALSE POSITIVE;0;0;1;0;0;31.95303877;0.907;8.0461;17703;47.96;864;131.55;1364.9;5524;3.693;2.734;288.4874;50.675461;13.032
12106875;K07513.01;;FALSE POSITIVE;;0;0;0;1;5.9371708;0.4778;4.954;157.1;1.17;945;188.41;10.1;5475;4.426;0.923;289.14355;50.611198;15.379
12157983;K07514.01;;FALSE POSITIVE;0;0;1;1;1;0.577844035;1.194;4.291;320.4;18.93;1980;3647.63;94;5693;4.57;0.816;290.65952;50.711342;13.766
12164751;K07515.01;;FALSE POSITIVE;0;0;1;0;0;2.630090609;0.285;13.6817;516930;83.5;1551;1371.02;1694.6;6315;4.292;1.108;294.38742;50.717098;14.187
12217907;K07516.01;;FALSE POSITIVE;0;0;1;0;0;43.20459678;0.399;15.0402;202490;43.15;519;17.15;4750.2;6003;4.507;0.932;296.27115;50.886292;14.291
